text,emotion
I feel uneasy and restless all the time.,anxious
Watched a lecture online and made some notes.,neutral
Watched a lecture online and made some notes.,neutral
Submitted a small assignment and reviewed feedback.,neutral
Went to the library and worked on my project.,neutral
I'm sick of pretending everything is fine.,angry
I'm sick of pretending everything is fine.,angry
I feel like screaming out of sheer frustration.,angry
I'm resentful of how much is expected of me.,angry
Nothing seems to bring me joy anymore.,sad
I feel exploited and unappreciated.,angry
I've been crying a lot without knowing why.,sad
I'm fed up with being the responsible one.,angry
I feel broken and don't know how to fix myself.,sad
I feel like screaming out of sheer frustration.,angry
I'm terrified of making mistakes in front of others.,anxious
Participated in a webinar related to my course.,neutral
I spend most days feeling numb and disconnected.,sad
I feel like I'm being treated unfairly.,angry
"Had an average day, nothing particularly good or bad.",neutral
Completed my assignment and took a lunch break.,neutral
I can't stand the constant pressure being put on me.,angry
The anxiety is affecting my physical health now.,anxious
My mind won't stop racing with what-ifs.,anxious
"Had breakfast, attended class, did some exercise.",neutral
I feel paralyzed by the amount of work I have.,anxious
I feel like a burden to everyone around me.,sad
I'm sick of pretending everything is fine.,angry
I can't focus because I'm always worried.,anxious
Nothing seems to bring me joy anymore.,sad
Reviewed notes from lecture and planned my week.,neutral
Everything feels pointless and meaningless.,sad
I get panic attacks whenever exams approach.,anxious
I've stopped reaching out to friends.,sad
I feel like a burden to everyone around me.,sad
I have trouble sleeping because of all my worries.,anxious
I can't stop worrying about my upcoming exams.,anxious
Everything feels overwhelming and out of control.,anxious
I'm done with people dismissing my feelings.,angry
"I feel empty inside, like something is missing.",sad
I'm constantly on edge and can't relax.,anxious
"Had an average day, nothing particularly good or bad.",neutral
I feel like screaming out of sheer frustration.,angry
I had a regular day attending classes and studying.,neutral
I feel like a burden to everyone around me.,sad
I feel exploited and unappreciated.,angry
"I'm irritable, snapping at my friends for no reason.",angry
I had a regular day attending classes and studying.,neutral
I feel exploited and unappreciated.,angry
I'm resentful of how much is expected of me.,angry
I don't have the energy to do anything.,sad
Why do I have to suffer while others have it easy?,angry
Did some chores and reviewed last week's material.,neutral
"Had an average day, nothing particularly good or bad.",neutral
I feel exploited and unappreciated.,angry
"I feel empty inside, like something is missing.",sad
My professors never listen to what students need.,angry
I'm done with people dismissing my feelings.,angry
"I feel empty inside, like something is missing.",sad
I'm done with people dismissing my feelings.,angry
Finished my reading for today and went for a walk.,neutral
Everything and everyone is annoying me today.,angry
"I feel empty inside, like something is missing.",sad
I can't stop worrying about my upcoming exams.,anxious
I'm done with people dismissing my feelings.,angry
I get angry just thinking about the injustice.,angry
Nothing seems to bring me joy anymore.,sad
"I feel empty inside, like something is missing.",sad
My grades are slipping and I feel like a failure.,sad
Nobody respects my time or boundaries.,angry
I feel broken and don't know how to fix myself.,sad
I'm done with people dismissing my feelings.,angry
Attended a study group session this afternoon.,neutral
I feel uneasy and restless all the time.,anxious
I'm struggling to find any reason to keep going.,sad
Caught up on emails and updated my planner.,neutral
I feel broken and don't know how to fix myself.,sad
The anxiety is affecting my physical health now.,anxious
Caught up on emails and updated my planner.,neutral
Life feels grey and colorless right now.,sad
Attended a study group session this afternoon.,neutral
Every little thing stresses me out lately.,anxious
I've lost all motivation to study or socialize.,sad
I'm furious about the amount of work assigned.,angry
Helped a classmate understand a difficult concept.,neutral
I feel a constant sense of dread.,anxious
Went to the library and worked on my project.,neutral
Nothing seems to bring me joy anymore.,sad
I feel invisible and unimportant.,sad
Met a friend for coffee and caught up on life.,neutral
I feel like I'm being treated unfairly.,angry
I'm done with people dismissing my feelings.,angry
I feel broken and don't know how to fix myself.,sad
Helped a classmate understand a difficult concept.,neutral
Why do I have to suffer while others have it easy?,angry
"Had breakfast, attended class, did some exercise.",neutral
"Had breakfast, attended class, did some exercise.",neutral
My heart races whenever I think about deadlines.,anxious
My professors never listen to what students need.,angry
Reviewed notes from lecture and planned my week.,neutral
I've stopped reaching out to friends.,sad
I feel jittery and nervous for no clear reason.,anxious
My professors never listen to what students need.,angry
I can't remember the last time I smiled genuinely.,sad
I feel like a burden to everyone around me.,sad
"I feel empty inside, like something is missing.",sad
I feel jittery and nervous for no clear reason.,anxious
I'm done with people dismissing my feelings.,angry
Watched a lecture online and made some notes.,neutral
Life feels grey and colorless right now.,sad
Life feels grey and colorless right now.,sad
I don't know how I'll manage everything this week.,anxious
I've been crying a lot without knowing why.,sad
Submitted a small assignment and reviewed feedback.,neutral
I feel exploited and unappreciated.,angry
I don't know how I'll manage everything this week.,anxious
Every little thing stresses me out lately.,anxious
The pressure is making it hard to breathe.,anxious
I'm constantly on edge and can't relax.,anxious
Attended a study group session this afternoon.,neutral
My classmates don't pull their weight in group work.,angry
Every little thing stresses me out lately.,anxious
My mind won't stop racing with what-ifs.,anxious
Everything feels pointless and meaningless.,sad
The anxiety is affecting my physical health now.,anxious
I've been crying a lot without knowing why.,sad
Organized my study schedule for the coming week.,neutral
I feel broken and don't know how to fix myself.,sad
I feel exploited and unappreciated.,angry
The anxiety is affecting my physical health now.,anxious
The pressure is making it hard to breathe.,anxious
Did some chores and reviewed last week's material.,neutral
I hate feeling like I have no control over my life.,angry
I feel completely hopeless about my future.,sad
I'm resentful of how much is expected of me.,angry
I'm fed up with being the responsible one.,angry
I don't know how I'll manage everything this week.,anxious
Attended a study group session this afternoon.,neutral
I'm fed up with being the responsible one.,angry
I keep catastrophizing even small problems.,anxious
"I'm irritable, snapping at my friends for no reason.",angry
I'm struggling to find any reason to keep going.,sad
Caught up on emails and updated my planner.,neutral
I feel jittery and nervous for no clear reason.,anxious
I feel uneasy and restless all the time.,anxious
Did some chores and reviewed last week's material.,neutral
Did some chores and reviewed last week's material.,neutral
I hate feeling like I have no control over my life.,angry
"I'm irritable, snapping at my friends for no reason.",angry
Everything feels pointless and meaningless.,sad
I feel like a burden to everyone around me.,sad
I'm done with people dismissing my feelings.,angry
Completed my assignment and took a lunch break.,neutral
Nothing seems to bring me joy anymore.,sad
Nobody respects my time or boundaries.,angry
I feel a constant sense of dread.,anxious
I feel jittery and nervous for no clear reason.,anxious
I'm terrified of making mistakes in front of others.,anxious
I want to quit everything and walk away.,angry
I'm scared I'll fail and disappoint everyone.,anxious
I feel like I'm drowning in sadness.,sad
I want to quit everything and walk away.,angry
I feel a constant sense of dread.,anxious
Did some chores and reviewed last week's material.,neutral
Nobody respects my time or boundaries.,angry
Watched a lecture online and made some notes.,neutral
My classmates don't pull their weight in group work.,angry
I feel broken and don't know how to fix myself.,sad
I feel completely hopeless about my future.,sad
I feel paralyzed by the amount of work I have.,anxious
Did some chores and reviewed last week's material.,neutral
I feel like I'm being treated unfairly.,angry
I miss feeling happy and carefree.,sad
I'm so frustrated with the unfair grading system.,angry
Life feels grey and colorless right now.,sad
I can't remember the last time I smiled genuinely.,sad
I can't remember the last time I smiled genuinely.,sad
I'm resentful of how much is expected of me.,angry
I hate feeling like I have no control over my life.,angry
Everything and everyone is annoying me today.,angry
"I feel empty inside, like something is missing.",sad
I can't stand the constant pressure being put on me.,angry
I don't know how I'll manage everything this week.,anxious
The pressure is making it hard to breathe.,anxious
Submitted a small assignment and reviewed feedback.,neutral
I feel uneasy and restless all the time.,anxious
Completed my assignment and took a lunch break.,neutral
I feel completely hopeless about my future.,sad
I feel uneasy and restless all the time.,anxious
I get angry just thinking about the injustice.,angry
"Had an average day, nothing particularly good or bad.",neutral
Life feels grey and colorless right now.,sad
Life feels grey and colorless right now.,sad
Spent the evening reading and listening to music.,neutral
I feel invisible and unimportant.,sad
Participated in a webinar related to my course.,neutral
Today was uneventful; just routine study and rest.,neutral
I don't know how I'll manage everything this week.,anxious
I'm constantly on edge and can't relax.,anxious
Everything feels overwhelming and out of control.,anxious
I feel paralyzed by the amount of work I have.,anxious
I hate feeling like I have no control over my life.,angry
Did some chores and reviewed last week's material.,neutral
The system is broken and nobody cares to fix it.,angry
I'm so frustrated with the unfair grading system.,angry
My heart races whenever I think about deadlines.,anxious
I feel so alone even when surrounded by people.,sad
I don't know how I'll manage everything this week.,anxious
I'm constantly on edge and can't relax.,anxious
I wish someone understood what I'm going through.,sad
The pressure is making it hard to breathe.,anxious
I've stopped reaching out to friends.,sad
Went to the library and worked on my project.,neutral
"I cooked dinner, studied for an hour, then relaxed.",neutral
I'm struggling to find any reason to keep going.,sad
Everything feels overwhelming and out of control.,anxious
I can't stop worrying about my upcoming exams.,anxious
I feel broken and don't know how to fix myself.,sad
I'm terrified of making mistakes in front of others.,anxious
Met a friend for coffee and caught up on life.,neutral
I don't have the energy to do anything.,sad
I'm sick of pretending everything is fine.,angry
I wish someone understood what I'm going through.,sad
Participated in a webinar related to my course.,neutral
I keep catastrophizing even small problems.,anxious
Nothing seems to bring me joy anymore.,sad
Participated in a webinar related to my course.,neutral
My classmates don't pull their weight in group work.,angry
I get panic attacks whenever exams approach.,anxious
I had a regular day attending classes and studying.,neutral
I had a regular day attending classes and studying.,neutral
I can't stop worrying about my upcoming exams.,anxious
Every little thing stresses me out lately.,anxious
I'm constantly on edge and can't relax.,anxious
My mind won't stop racing with what-ifs.,anxious
I feel paralyzed by the amount of work I have.,anxious
My grades are slipping and I feel like a failure.,sad
"Had breakfast, attended class, did some exercise.",neutral
My mind won't stop racing with what-ifs.,anxious
I'm terrified of making mistakes in front of others.,anxious
Why do I have to suffer while others have it easy?,angry
Every little thing stresses me out lately.,anxious
I wish someone understood what I'm going through.,sad
I can't focus because I'm always worried.,anxious
I can't remember the last time I smiled genuinely.,sad
Organized my study schedule for the coming week.,neutral
Organized my study schedule for the coming week.,neutral
I feel uneasy and restless all the time.,anxious
I'm struggling to find any reason to keep going.,sad
I've lost all motivation to study or socialize.,sad
Nobody respects my time or boundaries.,angry
I've lost all motivation to study or socialize.,sad
I feel a constant sense of dread.,anxious
Completed my assignment and took a lunch break.,neutral
Finished my reading for today and went for a walk.,neutral
Everything feels pointless and meaningless.,sad
Attended a study group session this afternoon.,neutral
My heart races whenever I think about deadlines.,anxious
"Had an average day, nothing particularly good or bad.",neutral
Why do I have to suffer while others have it easy?,angry
I feel a constant sense of dread.,anxious
I'm fed up with being the responsible one.,angry
Spent the evening reading and listening to music.,neutral
I get panic attacks whenever exams approach.,anxious
I feel like I'm being treated unfairly.,angry
The anxiety is affecting my physical health now.,anxious
I'm so frustrated with the unfair grading system.,angry
I'm done with people dismissing my feelings.,angry
Completed my assignment and took a lunch break.,neutral
I miss feeling happy and carefree.,sad
I'm resentful of how much is expected of me.,angry
The anxiety is affecting my physical health now.,anxious
Helped a classmate understand a difficult concept.,neutral
My mind won't stop racing with what-ifs.,anxious
I feel broken and don't know how to fix myself.,sad
Everything feels overwhelming and out of control.,anxious
Helped a classmate understand a difficult concept.,neutral
I'm furious about the amount of work assigned.,angry
I can't stop worrying about my upcoming exams.,anxious
Submitted a small assignment and reviewed feedback.,neutral
Everything and everyone is annoying me today.,angry
Helped a classmate understand a difficult concept.,neutral
Today was uneventful; just routine study and rest.,neutral
Everything feels overwhelming and out of control.,anxious
Submitted a small assignment and reviewed feedback.,neutral
Worked on a coding exercise for a few hours calmly.,neutral
Submitted a small assignment and reviewed feedback.,neutral
I don't know how I'll manage everything this week.,anxious
I feel like I'm drowning in sadness.,sad
I've been crying a lot without knowing why.,sad
Every little thing stresses me out lately.,anxious
Finished my reading for today and went for a walk.,neutral
I'm furious about the amount of work assigned.,angry
Caught up on emails and updated my planner.,neutral
My grades are slipping and I feel like a failure.,sad
Every little thing stresses me out lately.,anxious
I spend most days feeling numb and disconnected.,sad
Helped a classmate understand a difficult concept.,neutral
Watched a lecture online and made some notes.,neutral
My grades are slipping and I feel like a failure.,sad
My mind won't stop racing with what-ifs.,anxious
I miss feeling happy and carefree.,sad
Attended a study group session this afternoon.,neutral
I can't remember the last time I smiled genuinely.,sad
I feel like I'm drowning in sadness.,sad
Participated in a webinar related to my course.,neutral
Nothing seems to bring me joy anymore.,sad
Caught up on emails and updated my planner.,neutral
I get angry just thinking about the injustice.,angry
I keep catastrophizing even small problems.,anxious
I've lost all motivation to study or socialize.,sad
I'm furious about the amount of work assigned.,angry
Participated in a webinar related to my course.,neutral
I feel broken and don't know how to fix myself.,sad
I've been crying a lot without knowing why.,sad
Helped a classmate understand a difficult concept.,neutral
I feel jittery and nervous for no clear reason.,anxious
Every little thing stresses me out lately.,anxious
"I'm irritable, snapping at my friends for no reason.",angry
Spent the evening reading and listening to music.,neutral
I'm resentful of how much is expected of me.,angry
Nothing seems to bring me joy anymore.,sad
The pressure is making it hard to breathe.,anxious
Reviewed notes from lecture and planned my week.,neutral
Everything feels pointless and meaningless.,sad
I can't stand the constant pressure being put on me.,angry
I had a regular day attending classes and studying.,neutral
The anxiety is affecting my physical health now.,anxious
I feel invisible and unimportant.,sad
I can't stand the constant pressure being put on me.,angry
I'm sick of pretending everything is fine.,angry
I'm scared I'll fail and disappoint everyone.,anxious
I want to quit everything and walk away.,angry
The system is broken and nobody cares to fix it.,angry
I've lost all motivation to study or socialize.,sad
Everything and everyone is annoying me today.,angry
Finished my reading for today and went for a walk.,neutral
Participated in a webinar related to my course.,neutral
I feel invisible and unimportant.,sad
I feel completely hopeless about my future.,sad
I can't remember the last time I smiled genuinely.,sad
I had a regular day attending classes and studying.,neutral
The pressure is making it hard to breathe.,anxious
I feel a constant sense of dread.,anxious
Attended a study group session this afternoon.,neutral
I get panic attacks whenever exams approach.,anxious
I have trouble sleeping because of all my worries.,anxious
I can't remember the last time I smiled genuinely.,sad
I feel like screaming out of sheer frustration.,angry
"I feel empty inside, like something is missing.",sad
Reviewed notes from lecture and planned my week.,neutral
I feel invisible and unimportant.,sad
My mind won't stop racing with what-ifs.,anxious
I don't know how I'll manage everything this week.,anxious
I don't have the energy to do anything.,sad
The system is broken and nobody cares to fix it.,angry
My classmates don't pull their weight in group work.,angry
The system is broken and nobody cares to fix it.,angry
Everything feels pointless and meaningless.,sad
I feel like I'm drowning in sadness.,sad
I feel invisible and unimportant.,sad
The pressure is making it hard to breathe.,anxious
Organized my study schedule for the coming week.,neutral
Spent the evening reading and listening to music.,neutral
Life feels grey and colorless right now.,sad
I hate feeling like I have no control over my life.,angry
I feel paralyzed by the amount of work I have.,anxious
I can't remember the last time I smiled genuinely.,sad
I'm constantly on edge and can't relax.,anxious
The pressure is making it hard to breathe.,anxious
The system is broken and nobody cares to fix it.,angry
I'm scared I'll fail and disappoint everyone.,anxious
"Had breakfast, attended class, did some exercise.",neutral
I've been crying a lot without knowing why.,sad
Watched a lecture online and made some notes.,neutral
I'm constantly on edge and can't relax.,anxious
I can't focus because I'm always worried.,anxious
I feel like something bad is about to happen.,anxious
I'm so frustrated with the unfair grading system.,angry
I've stopped reaching out to friends.,sad
"I cooked dinner, studied for an hour, then relaxed.",neutral
Everything feels overwhelming and out of control.,anxious
I feel like I'm being treated unfairly.,angry
Did some chores and reviewed last week's material.,neutral
"Had an average day, nothing particularly good or bad.",neutral
"Had breakfast, attended class, did some exercise.",neutral
I keep catastrophizing even small problems.,anxious
I feel like I'm drowning in sadness.,sad
I feel completely hopeless about my future.,sad
Nothing seems to bring me joy anymore.,sad
Went to the library and worked on my project.,neutral
Worked on a coding exercise for a few hours calmly.,neutral
My heart races whenever I think about deadlines.,anxious
"I cooked dinner, studied for an hour, then relaxed.",neutral
I keep catastrophizing even small problems.,anxious
Helped a classmate understand a difficult concept.,neutral
Everything feels overwhelming and out of control.,anxious
I have trouble sleeping because of all my worries.,anxious
I'm fed up with being the responsible one.,angry
I'm so frustrated with the unfair grading system.,angry
Everything feels overwhelming and out of control.,anxious
I keep catastrophizing even small problems.,anxious
I feel like something bad is about to happen.,anxious
I want to quit everything and walk away.,angry
My heart races whenever I think about deadlines.,anxious
I hate feeling like I have no control over my life.,angry
The pressure is making it hard to breathe.,anxious
My classmates don't pull their weight in group work.,angry
I've stopped reaching out to friends.,sad
I've stopped reaching out to friends.,sad
My professors never listen to what students need.,angry
Submitted a small assignment and reviewed feedback.,neutral
Did some chores and reviewed last week's material.,neutral
My professors never listen to what students need.,angry
I feel like I'm drowning in sadness.,sad
I'm struggling to find any reason to keep going.,sad
My classmates don't pull their weight in group work.,angry
I feel like something bad is about to happen.,anxious
My professors never listen to what students need.,angry
Reviewed notes from lecture and planned my week.,neutral
I'm scared I'll fail and disappoint everyone.,anxious
I feel invisible and unimportant.,sad
Caught up on emails and updated my planner.,neutral
Reviewed notes from lecture and planned my week.,neutral
I'm scared I'll fail and disappoint everyone.,anxious
I'm terrified of making mistakes in front of others.,anxious
I can't stop worrying about my upcoming exams.,anxious
I wish someone understood what I'm going through.,sad
I can't stop worrying about my upcoming exams.,anxious
I'm scared I'll fail and disappoint everyone.,anxious
I'm done with people dismissing my feelings.,angry
Finished my reading for today and went for a walk.,neutral
I feel like a burden to everyone around me.,sad
I feel like I'm drowning in sadness.,sad
My classmates don't pull their weight in group work.,angry
Why do I have to suffer while others have it easy?,angry
Participated in a webinar related to my course.,neutral
The anxiety is affecting my physical health now.,anxious
I get panic attacks whenever exams approach.,anxious
Met a friend for coffee and caught up on life.,neutral
"I feel empty inside, like something is missing.",sad
I can't stop worrying about my upcoming exams.,anxious
I'm done with people dismissing my feelings.,angry
"Had an average day, nothing particularly good or bad.",neutral
I feel like a burden to everyone around me.,sad
"Had an average day, nothing particularly good or bad.",neutral
I can't focus because I'm always worried.,anxious
Finished my reading for today and went for a walk.,neutral
Nothing seems to bring me joy anymore.,sad
I'm done with people dismissing my feelings.,angry
Spent the evening reading and listening to music.,neutral
I'm furious about the amount of work assigned.,angry
Today was uneventful; just routine study and rest.,neutral
I feel like something bad is about to happen.,anxious
"Had an average day, nothing particularly good or bad.",neutral
I feel like something bad is about to happen.,anxious
"I'm irritable, snapping at my friends for no reason.",angry
I'm scared I'll fail and disappoint everyone.,anxious
I spend most days feeling numb and disconnected.,sad
I feel like I'm being treated unfairly.,angry
I'm scared I'll fail and disappoint everyone.,anxious
I'm so frustrated with the unfair grading system.,angry
My classmates don't pull their weight in group work.,angry
I'm fed up with being the responsible one.,angry
Everything and everyone is annoying me today.,angry
I have trouble sleeping because of all my worries.,anxious
Worked on a coding exercise for a few hours calmly.,neutral
I'm resentful of how much is expected of me.,angry
"I cooked dinner, studied for an hour, then relaxed.",neutral
Everything and everyone is annoying me today.,angry
Every little thing stresses me out lately.,anxious
I get angry just thinking about the injustice.,angry
I feel uneasy and restless all the time.,anxious
I want to quit everything and walk away.,angry
Nobody respects my time or boundaries.,angry
I feel jittery and nervous for no clear reason.,anxious
My grades are slipping and I feel like a failure.,sad
I'm terrified of making mistakes in front of others.,anxious
I feel completely hopeless about my future.,sad
I'm furious about the amount of work assigned.,angry
I had a regular day attending classes and studying.,neutral
I can't focus because I'm always worried.,anxious
I'm resentful of how much is expected of me.,angry
The anxiety is affecting my physical health now.,anxious
I can't remember the last time I smiled genuinely.,sad
I feel invisible and unimportant.,sad
I don't know how I'll manage everything this week.,anxious
Went to the library and worked on my project.,neutral
I had a regular day attending classes and studying.,neutral
Organized my study schedule for the coming week.,neutral
I have trouble sleeping because of all my worries.,anxious
Reviewed notes from lecture and planned my week.,neutral
I feel so alone even when surrounded by people.,sad
My professors never listen to what students need.,angry
I'm resentful of how much is expected of me.,angry
I feel a constant sense of dread.,anxious
"I'm irritable, snapping at my friends for no reason.",angry
"I feel empty inside, like something is missing.",sad
Nobody respects my time or boundaries.,angry
I miss feeling happy and carefree.,sad
I feel exploited and unappreciated.,angry
I wish someone understood what I'm going through.,sad
Today was uneventful; just routine study and rest.,neutral
I don't have the energy to do anything.,sad
Finished my reading for today and went for a walk.,neutral
I'm scared I'll fail and disappoint everyone.,anxious
Everything feels pointless and meaningless.,sad
I feel exploited and unappreciated.,angry
I feel like a burden to everyone around me.,sad
Spent the evening reading and listening to music.,neutral
I'm resentful of how much is expected of me.,angry
Watched a lecture online and made some notes.,neutral
"I cooked dinner, studied for an hour, then relaxed.",neutral
Worked on a coding exercise for a few hours calmly.,neutral
I feel a constant sense of dread.,anxious
I feel a constant sense of dread.,anxious
The pressure is making it hard to breathe.,anxious
I feel like something bad is about to happen.,anxious
I'm constantly on edge and can't relax.,anxious
"I'm irritable, snapping at my friends for no reason.",angry
I feel invisible and unimportant.,sad
Everything and everyone is annoying me today.,angry
Today was uneventful; just routine study and rest.,neutral
I feel like screaming out of sheer frustration.,angry
Met a friend for coffee and caught up on life.,neutral
I feel like I'm drowning in sadness.,sad
I feel like I'm being treated unfairly.,angry
I feel like I'm being treated unfairly.,angry
I'm done with people dismissing my feelings.,angry
I feel so alone even when surrounded by people.,sad
I feel paralyzed by the amount of work I have.,anxious
I want to quit everything and walk away.,angry
I'm terrified of making mistakes in front of others.,anxious
I don't know how I'll manage everything this week.,anxious
I'm sick of pretending everything is fine.,angry
I feel paralyzed by the amount of work I have.,anxious
I'm fed up with being the responsible one.,angry
I'm struggling to find any reason to keep going.,sad
I'm so frustrated with the unfair grading system.,angry
I feel like screaming out of sheer frustration.,angry
My professors never listen to what students need.,angry
I feel uneasy and restless all the time.,anxious
I feel like I'm drowning in sadness.,sad
My classmates don't pull their weight in group work.,angry
I keep catastrophizing even small problems.,anxious
Organized my study schedule for the coming week.,neutral
I feel exploited and unappreciated.,angry
I'm scared I'll fail and disappoint everyone.,anxious
Reviewed notes from lecture and planned my week.,neutral
I can't remember the last time I smiled genuinely.,sad
I feel so alone even when surrounded by people.,sad
My classmates don't pull their weight in group work.,angry
Attended a study group session this afternoon.,neutral
My professors never listen to what students need.,angry
The pressure is making it hard to breathe.,anxious
I feel jittery and nervous for no clear reason.,anxious
Everything feels overwhelming and out of control.,anxious
I'm constantly on edge and can't relax.,anxious
I have trouble sleeping because of all my worries.,anxious
Organized my study schedule for the coming week.,neutral
My heart races whenever I think about deadlines.,anxious
I can't stand the constant pressure being put on me.,angry
I'm resentful of how much is expected of me.,angry
I wish someone understood what I'm going through.,sad
I get angry just thinking about the injustice.,angry
I get panic attacks whenever exams approach.,anxious
My grades are slipping and I feel like a failure.,sad
"I'm irritable, snapping at my friends for no reason.",angry
Worked on a coding exercise for a few hours calmly.,neutral
I wish someone understood what I'm going through.,sad
I've lost all motivation to study or socialize.,sad
I'm so frustrated with the unfair grading system.,angry
My professors never listen to what students need.,angry
I feel a constant sense of dread.,anxious
Everything feels pointless and meaningless.,sad
"I cooked dinner, studied for an hour, then relaxed.",neutral
I've been crying a lot without knowing why.,sad
Today was uneventful; just routine study and rest.,neutral
My mind won't stop racing with what-ifs.,anxious
I'm constantly on edge and can't relax.,anxious
Completed my assignment and took a lunch break.,neutral
I had a regular day attending classes and studying.,neutral
I'm fed up with being the responsible one.,angry
Helped a classmate understand a difficult concept.,neutral
Reviewed notes from lecture and planned my week.,neutral
Spent the evening reading and listening to music.,neutral
I'm scared I'll fail and disappoint everyone.,anxious
I hate feeling like I have no control over my life.,angry
Organized my study schedule for the coming week.,neutral
I'm terrified of making mistakes in front of others.,anxious
Participated in a webinar related to my course.,neutral
Helped a classmate understand a difficult concept.,neutral
Nobody respects my time or boundaries.,angry
I miss feeling happy and carefree.,sad
I feel a constant sense of dread.,anxious
I'm scared I'll fail and disappoint everyone.,anxious
Nothing seems to bring me joy anymore.,sad
I'm resentful of how much is expected of me.,angry
Helped a classmate understand a difficult concept.,neutral
I feel like I'm being treated unfairly.,angry
I want to quit everything and walk away.,angry
I can't stop worrying about my upcoming exams.,anxious
My professors never listen to what students need.,angry
Nobody respects my time or boundaries.,angry
Finished my reading for today and went for a walk.,neutral
I spend most days feeling numb and disconnected.,sad
I have trouble sleeping because of all my worries.,anxious
I feel like a burden to everyone around me.,sad
Spent the evening reading and listening to music.,neutral
I can't focus because I'm always worried.,anxious
I can't focus because I'm always worried.,anxious
I get panic attacks whenever exams approach.,anxious
Reviewed notes from lecture and planned my week.,neutral
I feel broken and don't know how to fix myself.,sad
I keep catastrophizing even small problems.,anxious
My heart races whenever I think about deadlines.,anxious
I feel completely hopeless about my future.,sad
Every little thing stresses me out lately.,anxious
The anxiety is affecting my physical health now.,anxious
The pressure is making it hard to breathe.,anxious
Completed my assignment and took a lunch break.,neutral
Did some chores and reviewed last week's material.,neutral
Nothing seems to bring me joy anymore.,sad
The anxiety is affecting my physical health now.,anxious
I've been crying a lot without knowing why.,sad
I've stopped reaching out to friends.,sad
I'm constantly on edge and can't relax.,anxious
Today was uneventful; just routine study and rest.,neutral
Everything feels pointless and meaningless.,sad
Why do I have to suffer while others have it easy?,angry
I feel uneasy and restless all the time.,anxious
Nothing seems to bring me joy anymore.,sad
My classmates don't pull their weight in group work.,angry
Organized my study schedule for the coming week.,neutral
I feel jittery and nervous for no clear reason.,anxious
I feel like something bad is about to happen.,anxious
I feel like screaming out of sheer frustration.,angry
Today was uneventful; just routine study and rest.,neutral
"Had breakfast, attended class, did some exercise.",neutral
I feel completely hopeless about my future.,sad
I want to quit everything and walk away.,angry
I can't stop worrying about my upcoming exams.,anxious
The system is broken and nobody cares to fix it.,angry
I spend most days feeling numb and disconnected.,sad
My heart races whenever I think about deadlines.,anxious
I keep catastrophizing even small problems.,anxious
I'm furious about the amount of work assigned.,angry
I miss feeling happy and carefree.,sad
I'm scared I'll fail and disappoint everyone.,anxious
Attended a study group session this afternoon.,neutral
I feel like a burden to everyone around me.,sad
Nobody respects my time or boundaries.,angry
Attended a study group session this afternoon.,neutral
Every little thing stresses me out lately.,anxious
Met a friend for coffee and caught up on life.,neutral
"Had an average day, nothing particularly good or bad.",neutral
I'm fed up with being the responsible one.,angry
Went to the library and worked on my project.,neutral
I don't have the energy to do anything.,sad
I feel like a burden to everyone around me.,sad
I don't know how I'll manage everything this week.,anxious
I'm so frustrated with the unfair grading system.,angry
"I cooked dinner, studied for an hour, then relaxed.",neutral
